sentence,emotion
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,2
em chưa có người yêu . có ai yêu em không . em cô đơn quá,5
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,2
per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),2
bả đòi cái gì vậy ?,4
"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",5
per biết không :))),6
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,5
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,1
cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,1
lên án nhiều rồi mà vẫn thế .,1
thằng này ngu vãi,1
cây tre có tận trăm đốt luôn hả ???,6
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,5
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",1
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",3
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,2
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,1
và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,5
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,1
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,1
tao thấy giống khùng với lại vô duyên chứ hay gì,1
cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,2
t gặp ngỗng chạy bỏ dép,3
"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",1
sao nó trèo lên được hay vậy @@,6
"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",2
cuộc sống mà đành chịu thôi =(((,5
"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",5
"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",4
"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",2
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,1
t thấy chả có gì thú vị .,4
vậy mà củng chẳng hút được khách !,6
khi nào lên chùa ba vàng giải được vong thì kết hôn :)),2
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,1
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,2
cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,1
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,4
em đi bộ chết mẹ đây này,5
"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",2
"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",1
nhìn mặt nó khó ưa thật chứ,1
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),4
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,4
một cái ngu thật sứng đáng,1
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,2
hãy dùng một đời để minh chứng nhé !💕😍,4
con mụ đen sai còn già mồm ...,1
chỉ cần yên bình như thế này thôi . ❤️❤️❤️,2
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,5
chỉ sợ lúc nó dí,3
hên là chay ra kip,2
immm,0
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,5
đa ́ người yêuc quá ́,2
"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",1
kinh dị v,3
thật may em đã gặp được người tài xế tốt 🌸🌸,2
bắn không trượt phát nào luôn à,6
tại sao mày nằm viện mà vẫn xinh thế ??,6
đẹp trai mà bị đá à,6
cho con được thay ông bán vé đi 😔,5
lớp xuất hiện thứ âm binh,1
đọc bình luận cười ẻ,2
per cách này coi bộ hay nha 😂,2
"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",2
per thanh niên suốt ngày hát karaoke max volum,1
lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,1
bố mày ngứa mắt lắm rồi đấy,0
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),0
cả đám súc vật này,0
bố mấy thằng bệnh,1
thật khó để có cả 2 khi chúng ta còn trẻ :),5
nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,1
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,2
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,1
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,1
cô giáo có tâm vời nghề ghêeeee,2
tiếc quá đẹp trai mờ không có chim,5
crush ở nhà chơi gane rồi haha,2
nhìn stt đồng cảm khủng khiếp .,5
cài lò xô huyền thoại,2
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,1
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,1
"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",2
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,3
trốn cũng đéo tha,0
"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",2
rồi lại im thôi . 200k hay 5tr thì cũng vậy,5
"cái lò huyền thoại nè per , lúc mình ở chung đó",2
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,3
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,3
tuyệt vời,2
trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),6
tính đi chạy xe mà mưa cho nên ta ở nhà :),4
nhìn nó cưng quá,2
chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,1
"này thì cắt đức quan hệ , toàn thể hiện , dume nó",1
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,1
hạnh phúc to nè,2
"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",1
ông thần nhây vãi đái 😂😂,2
tóm lại vẩn ế à,6
chả vị nước mắt à 😔,5
con lợn kia sao đập vào đầu vợ bé của tao =)),0
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,4
cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,3
hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,2
hahaa coi cái mặt con nhỏ thấy thương,2
"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",2
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,4
"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",2
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,2
per anh tặng vợ cái bát nha kaka,2
"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",2
như lol,0
bất ngờ chưa =))),6
"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",0
"ay , đau thế , thằng chó !",0
"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",5
"đm cho tù mọt gông đi , cái thứ không não",0
con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,0
a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,5
"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",1
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,2
đáng yêuc quá,2
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,4
làm như chỉ có chúng mày biết yêu nhau ý .,1
nói chung là không nên uống chẳng bổ béo gì đâu,4
không nổi thì mình chìm haha,2
nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,4
anh cũng bướng làm !,4
"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",0
nhìn ma tiếc từng hạt trân châu,5
thật cảm động,2
"trời ơi , tin được không ????",6
per nhìn mặt hài vler :))),2
"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",2
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,2
người ngoài hành tinh đi học tiếng anh rồi à vãi,1
đó là một câu chuyện buồn 😀,5
lỗi đạo cụ,1
per dạo này bị xàm à 😂😂😂,1
như chết đi sống lại 🙂,5
"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",5
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,2
thả tao ra để tao cắn chết mẹ nó =)),0
per tao cứ thấy giống giống mày :))))),2
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,1
"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",1
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,2
cưng hết sức nà,2
"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",1
cái nệm này độ đàn hồi đỉnh ghê,6
"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",5
con mèo khốn nạn dám bóp vếu vợ tao à 😡,0
"giỏi quá ta , cố gắng phát huy nha",6
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",4
ăn cả thế giới đã,4
"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",0
"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",1
chú này tội lắm á :(,5
gọi phường cẩu đi thôi,0
link phim đéo có .. mà zo toàn gặp bình luận xàm,1
chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,5
hihi ảo tưởng,2
hahah tao chưa nghe hoàn chỉnh bài này lần nào,2
mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .,2
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,4
2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??,4
dân dùng bằng giả có được khiển trách không nhỉ,4
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :)),1
người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,3
per huhu trời ơiii,5
lớp 5 mà viết kiểu này cô đánh gãy tay .,3
con gái chả thế :)))) con trai đi dume mày có nhận hàng không,2
"xoá mẹ nó đi , pr cho nó làm gì",1
t thích nhìn mắt của crush hơn là nhìn nó cười,2
hành động đẹp,2
"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy",1
"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂",2
t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭,5
chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông,2
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),2
"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục",1
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,4
mặt mày nhìn chán thậc,1
cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,1
per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin,3
đau lòng quá,5
chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,1
vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂,2
lúc rài không gặp được mặt cờ rút nữa 😪,5
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,1
giống tao hồi bé ... 😅,2
có ai không bị giật mình như tao không . nhạt vãi =))),1
năm nay không được ăn dồi :((,5
ổng bị bắt rồi :( rồi lấy gì coi,5
"per thể loại mới nè , có vẻ phê",2
con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :)),2
"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",1
per nhện kìa haha,2
per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(,5
càng thân thiết khi quay lưng càng đau lòng .,5
lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :)),2
tôi thấy tương lai của tôi trong bức ảnh này :d,4
"per đấu nhau to rồi , phen này hay",2
có thể bán lại cho tớ không ??????,4
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,1
xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),5
per phải nói là hiền quá hiền luônnn 🤣,2
phạt thế quá nhẹ ...,0
có bồ mà cũng sân si,1
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,3
sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa,2
đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi,4
ướp đông lạnh luôn à,4
chờ tý tao đi thay bỉm xíu tao quay lại .,3
có hiệu quả không mới quan trọng,4
sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .,1
anh chờ ... đáng yêu ghê,2
cười như cục cức trôi sông lạc chợ 😏😏👌,1
tao buồn mấy năm nay rồi,5
phải đối xử tốt với chính bản thân mình :),2
"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",5
"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?",0
tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁,2
động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :),4
mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh,5
sản phẩm khá là mới lạ trong việt nam,6
"chuẩn rồi . nhiều khi mệt muốn xỉu , xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự",2
ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó,4
"per hồi nhỏ bị con đỉ này dí lòi lol 😂, bị cắn bầm đen muốn thúi thịt luôn cả tháng hơn mới hết . mà đươ ̣ c cái con này nuôi nó giữ nhà cửa hay , có nó không sợ ma quỷ gì hết",3
chắc ổng chỉ ngồi 1 chỗ và để móng lên bàn nv . chư tao nghĩ đi lại cũng khó,1
nó mới ghé nhà tao đây :)),2
nhìn mặt là cười phọt rồi,2
per cấm dừng đỗ đâu cụ thớt ???,4
đọc chả hiểu gì :( mất gốc rồi :(,5
mạng lag chưa xem được nhưng vẫn vào bình luận 😍😍,4
"em vợ có thể ngủ với mẹ , còn anh thì ngủ với em 😂",2
cái giọng anh quay phim nghe ngọt quá 😘😘,2
đẹp đôi vãi 🤩,2
như con ma tơi có ngày ném cho cái cốc vào mặt thì đừng trách,0
"ổng để móng có 1 bàn tay thôi còn bàn tay kia vẫn sạch sẽ bình thường mà các cụ cứ hỏi chùi đít , đanh răng , quay tay kiểu gì là sao :))",4
chỉ thấy mất dạy,1
vì nó biết mày còn 2 quả thận thôi con ạ . rửa mặt đi :vậy,1
tiền cắt tóc như kia đủ mua giày rồi :v,5
"trên phim thôi . ngoài đời thì đứa con gái uống xong ngất luôn , hôm sau thì bị bán mẹ sang trung quốc",4
đấy cổ tích như thế có mà dân lại ngồi hết lên đầu pháp luật . tai nạn tăng không ngừng nghỉ ấy chứ .,1
"nếu không có lòng yêu thương , thì đừng nuôi",1
định mệnh gớm vãi 🤮🤮🤮,1
kiểu xem đứa nào thắng !,4
"èo , ngọt quá đi",2
lấy vợ xong bị tàn phá là có thật 😆 béo vãi_chưởng,1
nếu người ta sai thì gọi công an xử lý còn không thì bạn không có quyền nhé,1
t thề hồi nhỏ qua nhà ông hàng xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la làng tới giờ nhớ lại vẫn còn hãi 😧😧😧,3
nó bướng vãi . cứ làm theo ý mình,0
nghe như hát trầu văn,1
đúng rồi mà kệ nó tao đéo quan tâm . chụp cho ai thì chụp,4
nhà có người già vui thật nhỉ 🤣👍,2
tao nấu củi chưa nấu bằng rơm bao giờ 😪,4
bếp dầu trước kia tôi đã thuờg dùng,4
ngọc ngọc đồng nghiệp tốt,4
